"from","to"
"PHP 5.3 support (namespaces, SPL, etc)","Suport PHP 5.3 (namespace, SPL, etc)"
"Easily build extensions", "Creaţi extensii cu uşurinţă"
"Modifiable design packages, themes and skins", "Pachete, teme şi skin-uri modificabile"
"Search for extensions:", "Căutaţi extensia dorită:"
"Mobile","Mobil"
